Month,Date,Time,System_V,Current_R_A,Current_Y_A,Current_B_A,pf,Notes,Temperature_C,Humidity_%,Precipitation_mm,Wind_Speed_mps,Solar_Radiation_Wm2
August,8/1/2023,9:00 AM,432,289,339,391,0.98,,32.2,75,0,12.5,538
,8/1/2023,10:00 AM,430,409,364,285,0.99,,33.6,68,0,15.3,725
,8/1/2023,11:00 AM,429,304,348,213,0.98,,34.5,64,0,18.5,845
,8/1/2023,12:00 PM,428,282,363,286,0.98,,34.1,65,0.1,20,861
,8/1/2023,1:00 PM,436,336,354,261,0.98,,35.5,60,0,17.6,861
,8/1/2023,2:00 PM,431,280,374,312,0.98,,29.5,84,8.4,23.1,801
,8/1/2023,3:00 PM,428,450,342,277,0.99,,32.1,73,0.2,15.6,337
,8/1/2023,4:00 PM,426,345,205,250,0.99,,31.6,69,0.7,29.2,471
,8/1/2023,5:00 PM,433,332,314,303,0.98,,30.5,75,0,25.4,278
,8/1/2023,6:00 PM,428,269,366,318,0.98,,28.7,82,0,22.7,73
,8/1/2023,7:00 PM,432,256,236,317,0.99,,28.5,80,0.3,25.8,14
,8/1/2023,8:00 PM,434,212,242,283,0.99,,27.9,85,0.9,25.6,0
,8/1/2023,9:00 PM,429,216,155,153,0.99,,27.4,89,0.8,23.1,0
,8/1/2023,10:00 PM,436,205,275,232,0.98,,27.7,87,0.1,24.4,0
,8/1/2023,11:00 PM,432,284,190,289,0.98,,27.8,85,0.1,25,0
,8/1/2023,12:00 AM,434,180,155,172,0.98,,27.6,95,1.2,6.5,0
,8/1/2023,1:00 AM,430,189,264,150,0.98,,27.5,95,1,6.8,0
,8/1/2023,2:00 AM,428,219,185,153,0.99,,27.3,96,0.6,4.5,0
,8/1/2023,3:00 AM,429,206,150,157,0.98,,27.2,96,0.4,7.1,0
,8/1/2023,4:00 AM,432,150,153,172,0.98,,27.1,95,0.1,1.5,0
,8/1/2023,5:00 AM,429,157,204,164,0.99,,27,96,0,3.5,0
,8/1/2023,6:00 AM,425,153,301,208,0.98,,28,96,0,8,8
,8/1/2023,7:00 AM,426,185,251,218,0.98,,29,92,0,2.9,115
,8/1/2023,8:00 AM,431,301,256,237,0.98,,30.5,85,0,8.8,305
,8/2/2023,9:00 AM,432,297,347,226,0.98,,29.7,78,0.1,26.5,440
,8/2/2023,10:00 AM,434,266,404,402,0.99,,29.3,79,0.3,23.7,424
,8/2/2023,11:00 AM,427,337,300,389,0.99,,30.4,77,0.3,24.1,563
,8/2/2023,12:00 PM,434,343,319,383,0.98,,29.9,76,1.5,24.5,629
,8/2/2023,1:00 PM,433,295,390,340,0.98,,30,76,1.1,21.7,405
,8/2/2023,2:00 PM,427,328,386,414,0.99,,31.2,72,0.1,23.5,563
,8/2/2023,3:00 PM,436,450,321,330,0.98,,31.5,71,0.2,25.9,551
,8/2/2023,4:00 PM,435,410,276,370,0.99,,30,78,0.7,22.2,280
,8/2/2023,5:00 PM,431,372,333,246,0.99,,30.1,78,2.1,22.4,232
,8/2/2023,6:00 PM,436,341,235,250,0.98,,27.3,91,0,17.3,89
,8/2/2023,7:00 PM,434,356,307,338,0.98,,27.5,90,0.2,18.1,6
,8/2/2023,8:00 PM,431,180,212,316,0.98,,27.2,91,0.1,17.9,0
,8/2/2023,9:00 PM,435,259,405,233,0.98,,27.1,91,0,19.1,0
,8/2/2023,10:00 PM,430,152,273,212,0.98,,26.9,92,0.4,17.8,0
,8/2/2023,11:00 PM,431,236,163,240,0.99,,26.8,92,0.1,17.7,0
,8/2/2023,12:00 AM,429,150,157,242,0.98,,28,82,0,27.4,0
,8/2/2023,1:00 AM,433,166,154,156,0.98,,27.7,83,0,32.4,0
,8/2/2023,2:00 AM,426,189,150,154,0.99,,27.2,86,0,26.8,0
,8/2/2023,3:00 AM,433,150,153,191,0.98,,27.1,86,0.1,27.3,0
,8/2/2023,4:00 AM,428,153,213,150,0.98,,27,87,0,27.9,0
,8/2/2023,5:00 AM,427,150,155,211,0.98,,27,87,0,27.4,0
,8/2/2023,6:00 AM,432,177,260,207,0.99,,27,91,0.1,23.8,7
,8/2/2023,7:00 AM,429,271,353,199,0.98,,27.9,86,0,24,85
,8/2/2023,8:00 AM,430,368,244,227,0.98,,28.8,82,0,29.2,230
,8/3/2023,9:00 AM,433,349,219,276,0.98,,28,86,2.4,18.2,167
,8/3/2023,10:00 AM,428,420,341,236,0.99,,28.2,85,0.6,19.4,220
,8/3/2023,11:00 AM,437,394,233,302,0.99,,29,84,0.3,17,331
,8/3/2023,12:00 PM,428,369,393,285,0.98,,29.7,81,0.3,17.6,372
,8/3/2023,1:00 PM,425,288,333,272,0.99,,29.5,82,2.7,15.3,423
,8/3/2023,2:00 PM,426,323,358,439,0.98,,30.4,79,0.1,15,378
,8/3/2023,3:00 PM,437,348,406,438,0.99,,31,73,0,17,437
,8/3/2023,4:00 PM,434,368,399,268,0.99,,28.5,81,3.7,22.3,335
